p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
2.69950290892e-10	1.55376835789e-07	IL6-mediated signaling events	PID	il6_7pathway	CEBPB; JUNB; SOCS3; CEBPD; FOS; JUN; IL6; MCL1; MYC	3725; 4170; 2353; 3569; 1052; 9021; 3726; 4609; 1051	47	47
5.49562030343e-10	1.55376835789e-07	AP-1 transcription factor network	PID	ap1_pathway	EGR1; CYR61; FOS; FOSB; JUNB; JUN; IL6; MYC; DUSP1; ATF3	3726; 3725; 2354; 2353; 3491; 1843; 467; 4609; 1958; 3569	70	70
7.24930804613e-10	1.55376835789e-07	Transcriptional cascade regulating adipogenesis	Wikipathways	WP4211	CEBPB; CEBPA; DDIT3; CEBPD; EGR2; KLF2	1050; 1051; 1052; 1649; 10365; 1959	13	13
1.87376348378e-09	3.01207480017e-07	Adipogenesis	Wikipathways	WP236	CEBPB; CEBPA; DDIT3; SOCS3; CEBPD; EGR2; CDKN1A; ID3; IL6; KLF6; TNF; GADD45B	1959; 1316; 7124; 3569; 3399; 1649; 9021; 1026; 4616; 1050; 1051; 1052	131	131
2.65858674735e-09	3.41894255709e-07	ATF-2 transcription factor network	PID	atf2_pathway	DDIT3; SOCS3; FOS; JUNB; JUN; IL6; HES1; DUSP1; ATF3	3725; 2353; 3569; 3726; 467; 9021; 1843; 3280; 1649	60	60
1.24266168995e-08	1.30866839629e-06	Photodynamic therapy-induced AP-1 survival signaling.	Wikipathways	WP3611	FOS; CDKN1A; JUNB; JUN; IL6; HBEGF; TNF; MCL1	1839; 3725; 7124; 4170; 3726; 1026; 3569; 2353	50	50
1.42467788088e-08	1.30866839629e-06	Interleukin-4 and Interleukin-13 signaling	Wikipathways	WP4066	SOCS3; FOS; CEBPD; CDKN1A; JUNB; IL6; TNF; MCL1; MYC; BCL6	7124; 3569; 4609; 3726; 9021; 1026; 4170; 2353; 604; 1052	97	97
8.70497506713e-08	6.57758213639e-06	Spinal Cord Injury	Wikipathways	WP2431	NR4A1; BTG2; FOS; EGR1; IL6; ZFP36; SOX9; RHOB; MYC; TNF	1958; 7538; 7124; 3569; 6662; 388; 3164; 4609; 2353; 7832	117	117
9.20656908671e-08	6.57758213639e-06	Transcriptional misregulation in cancer - Homo sapiens (human)	KEGG	path:hsa05202	CEBPB; CEBPA; DDIT3; DUSP6; GADD45B; ID2; GADD45G; NFKBIZ; IL6; MYC; BCL6; CDKN1A	4609; 1026; 4616; 1050; 1051; 604; 10912; 1649; 64332; 1848; 3398; 3569	186	185
1.04536197131e-07	6.72167747551e-06	Oncostatin M Signaling Pathway	Wikipathways	WP2374	NFKBIA; CEBPB; EGR1; CYR61; SOCS3; FOS; JUNB; LDLR	3949; 3491; 3726; 1051; 2353; 9021; 1958; 4792	65	65
1.18076923872e-07	6.90213291361e-06	HIF-1-alpha transcription factor network	PID	hif1_tfpathway	FOS; JUN; PFKFB3; ID2; MCL1; CXCR4; CITED2; ADM	3725; 4170; 133; 3398; 10370; 7852; 2353; 5209	66	66
2.10041855353e-07	1.12547427493e-05	cadmium induces dna synthesis and proliferation in macrophages	BioCarta	cdmacpathway	NFKBIA; MYC; TNF; JUN; FOS	7124; 4609; 3725; 4792; 2353	16	16
