p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.19978995284e-12	4.07928583965e-11	Interferon Signaling	Reactome	R-HSA-913531	STAT2; IFI27; IFI35; TRIM22; GBP4; OAS1; OAS2; ISG15; IFIT1	6773; 9636; 3434; 4938; 3430; 3429; 115361; 10346; 4939	158	158
1.06058197463e-11	1.80298935688e-10	Interferon alpha/beta signaling	Reactome	R-HSA-909733	STAT2; IFI27; IFI35; OAS1; OAS2; ISG15; IFIT1	6773; 4938; 3430; 9636; 3434; 3429; 4939	70	70
1.70782286534e-10	1.93553258072e-09	The human immune response to tuberculosis	Wikipathways	WP4197	TAP1; OAS1; IFI35; STAT2; IFIT1	6890; 3430; 3434; 4938; 6773	22	22
1.56662784032e-08	1.33163366428e-07	Cytokine Signaling in Immune system	Reactome	R-HSA-1280215	STAT2; IFI27; IFI35; TRIM22; GBP4; OAS1; OAS2; ISG15; IFIT1	10346; 115361; 9636; 4938; 3430; 3434; 6773; 3429; 4939	458	458
2.96460443077e-08	2.01593101292e-07	Interferon alpha-beta signaling	Wikipathways	WP1835	IFI27; IFI35; ISG15; IFIT1	3429; 3430; 3434; 9636	21	21
4.95950729088e-08	2.81038746483e-07	Immune System	Reactome	R-HSA-168256	TAP1; STAT2; IFI27; IFI35; TRIM22; GBP4; OAS1; ITGAV; OAS2; ISG15; IFIT1; TMEM30A; S100A7; RNF213	10346; 57674; 115361; 3430; 6773; 4939; 6278; 55754; 9636; 4938; 3434; 3685; 3429; 6890	1840	1827
3.21706277293e-07	1.56257334685e-06	Type II interferon signaling (IFNG)	Wikipathways	WP619	TAP1; OAS1; ISG15; STAT2	6890; 9636; 4938; 6773	37	37
9.37492817524e-06	3.98434447448e-05	Herpes simplex infection - Homo sapiens (human)	KEGG	path:hsa05168	TAP1; OAS1; OAS2; STAT2; IFIT1	6773; 6890; 4938; 4939; 3434	185	185
1.36871142864e-05	4.75732559575e-05	Epstein-Barr virus infection - Homo sapiens (human)	KEGG	path:hsa05169	TAP1; OAS1; OAS2; ISG15; STAT2	6773; 6890; 4938; 4939; 9636	201	200
1.39921341051e-05	4.75732559575e-05	Interferon gamma signaling	Reactome	R-HSA-877300	OAS1; OAS2; TRIM22; GBP4	4938; 115361; 10346; 4939	94	94
9.95436963945e-05	0.000307680516129	Hepatitis C - Homo sapiens (human)	KEGG	path:hsa05160	OAS1; OAS2; STAT2; IFIT1	6773; 4938; 4939; 3434	155	155
0.000135928889077	0.000385131852384	NOD-like receptor signaling pathway - Homo sapiens (human)	KEGG	path:hsa04621	OAS1; OAS2; STAT2; GBP4	6773; 115361; 4938; 4939	168	168
0.000170453711867	0.000445802015652	Non-genomic actions of 1,25 dihydroxyvitamin D3	Wikipathways	WP4341	OAS2; ISG15; STAT2	9636; 4939; 6773	68	68
0.00105317618708	0.00238719935739	ISG15 antiviral mechanism	Reactome	R-HSA-1169408	ISG15; IFIT1	9636; 3434	30	30
0.00105317618708	0.00238719935739	Antiviral mechanism by IFN-stimulated genes	Reactome	R-HSA-1169410	ISG15; IFIT1	9636; 3434	30	30
0.00116643068814	0.00247866521229	Measles - Homo sapiens (human)	KEGG	path:hsa05162	OAS1; OAS2; STAT2	6773; 4938; 4939	132	131
0.00250236005274	0.00500472010547	Influenza A - Homo sapiens (human)	KEGG	path:hsa05164	OAS1; OAS2; STAT2	6773; 4938; 4939	171	171
0.00279504638328	0.0052795320573	Antigen processing-Cross presentation	Reactome	R-HSA-1236975	TAP1; ITGAV	6890; 3685	49	49
