p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
3.99013504711e-07	0.000119253270591	Alpha6Beta4Integrin	NetPath	Pathway_Alpha6Beta4Integrin	EPHB2; PIK3CD; DST; EGFR; ITGA6; SMAD3; SFN; PLEC	2048; 5293; 4088; 1956; 5339; 2810; 3655; 667	71	71
5.12270838906e-07	0.000119253270591	Ebola Virus Pathway on Host	Wikipathways	WP4217	KPNA1; STAT1; TFAP2A; PIK3CD; ITGA2; EIF2AK2; EGFR; ITGA6; CLTC; AXL	3655; 1956; 5610; 3673; 7020; 6772; 1213; 5293; 558; 3836	130	130
5.90362725698e-07	0.000119253270591	TGF-beta Signaling Pathway	Wikipathways	WP366	ITCH; MMP12; CCND1; ITGA2; SMAD3; COL1A2; TNC; PML; BCAR1; MMP1	5371; 83737; 9564; 595; 4321; 3673; 4088; 3371; 1278; 4312	132	132
9.70833118837e-07	0.000147081217504	Human papillomavirus infection - Homo sapiens (human)	KEGG	path:hsa05165	ATP6V1A; CDK6; STAT1; CCND1; FAS; ITGA2; EIF2AK2; PIK3CD; ITGA6; MX1; COL1A2; TNC; FADD; MAML2; EGFR	523; 3673; 8772; 3655; 595; 6772; 5293; 1278; 84441; 3371; 355; 1956; 4599; 5610; 1021	339	339
2.57203267013e-06	0.00031173035962	Hepatitis C - Homo sapiens (human)	KEGG	path:hsa05160	E2F3; STAT1; CCND1; FAS; EIF2AK2; EGFR; PIK3CD; CDK6; FADD; MX1	5293; 8772; 595; 6772; 355; 1956; 1871; 5610; 4599; 1021	155	155
3.44085200355e-06	0.000312745268302	Focal Adhesion	Wikipathways	WP306	CCND1; EGFR; ITGA2; PIK3CD; BIRC2; ITGA6; COL1A2; CAPN2; TNC; VASP; BCAR1	3655; 824; 595; 3673; 9564; 5293; 3371; 7408; 329; 1278; 1956	198	198
3.6125691058e-06	0.000312745268302	Focal adhesion - Homo sapiens (human)	KEGG	path:hsa04510	CCND1; EGFR; ITGA2; PIK3CD; BIRC2; ITGA6; COL1A2; CAPN2; TNC; VASP; BCAR1	3655; 595; 3673; 5293; 7408; 329; 3371; 824; 9564; 1956; 1278	199	199
7.83721496641e-06	0.000593669033705	Pancreatic cancer - Homo sapiens (human)	KEGG	path:hsa05212	E2F3; STAT1; CCND1; PIK3CD; EGFR; SMAD3; CDK6	1871; 1956; 5293; 4088; 595; 6772; 1021	75	75
1.07664193459e-05	0.000671742992763	Hepatitis B - Homo sapiens (human)	KEGG	path:hsa05161	E2F3; STAT1; CCND1; FAS; FADD; PIK3CD; SMAD3; CDK6; MMP9	8772; 595; 6772; 5293; 4318; 1871; 355; 4088; 1021	144	144
1.10848678674e-05	0.000671742992763	p73 transcription factor network	PID	p73pathway	HSF1; ITCH; FAS; SFN; CDK6; PML; AEN	83737; 1021; 5371; 3297; 355; 64782; 2810	79	79
1.25523261809e-05	0.000691519060513	Pathways in cancer - Homo sapiens (human)	KEGG	path:hsa05200	IGF2; E2F3; STAT1; CCND1; FAS; ITGA2; MMP9; PIK3CD; BIRC2; ITGA6; SMAD3; CDK6; FADD; PML; EDNRA; EGFR; MMP1	4312; 4318; 329; 355; 8772; 595; 6772; 1021; 5293; 5371; 3481; 3655; 3673; 1871; 1909; 1956; 4088	526	526
1.81982217759e-05	0.000874700090769	Regulation of RUNX1 Expression and Activity	Reactome	R-HSA-8934593	CCND1; PML; CDK6; AGO2	1021; 27161; 595; 5371	18	17
1.87641933663e-05	0.000874700090769	Apoptosis	Reactome	R-HSA-109581	FAS; KPNB1; DFFA; BIRC2; SFN; PLEC; KPNA1; FADD	355; 3837; 1676; 329; 8772; 2810; 3836; 5339	118	118
2.25271610972e-05	0.000975104258921	Programmed Cell Death	Reactome	R-HSA-5357801	FAS; KPNB1; DFFA; BIRC2; SFN; PLEC; KPNA1; FADD	355; 3837; 1676; 329; 8772; 2810; 3836; 5339	121	121
2.4320697511e-05	0.000982556179446	Pancreatic adenocarcinoma pathway	Wikipathways	WP4263	E2F3; STAT1; CCND1; PIK3CD; EGFR; SMAD3; CDK6	1956; 595; 6772; 1871; 4088; 1021; 5293	89	89
2.81338077983e-05	0.00106556797036	Extracellular matrix organization	Reactome	R-HSA-1474244	ADAMTS5; MMP10; MMP12; DST; ITGA6; PLEC; CAPN2; TNC; MMP9; COL1A2; ITGA2; MMP1	4312; 1278; 824; 5339; 4318; 3371; 4319; 3655; 11096; 4321; 667; 3673	294	294
3.23855969745e-05	0.00113731785007	Small cell lung cancer - Homo sapiens (human)	KEGG	path:hsa05222	E2F3; CCND1; ITGA2; PIK3CD; BIRC2; ITGA6; CDK6	3655; 595; 3673; 5293; 329; 1871; 1021	93	93
3.3781718319e-05	0.00113731785007	EGFR1	NetPath	Pathway_EGFR1	EPHB2; DCBLD2; STAT1; ITCH; EGFR; PIK3CD; SMAD3; PLEC; CLTC; ASAP1; VASP; SDCBP; BCAR1; AP2B1; AXL	558; 83737; 2048; 7408; 9564; 163; 6772; 4088; 50807; 1213; 5339; 131566; 5293; 6386; 1956	457	455
4.48704621982e-05	0.00143113158379	Bladder cancer - Homo sapiens (human)	KEGG	path:hsa05219	CCND1; EGFR; MMP9; E2F3; MMP1	1871; 595; 4312; 4318; 1956	41	41
5.67817122468e-05	0.00172048588108	Nuclear Receptors Meta-Pathway	Wikipathways	WP2882	CYP1A1; CYP3A5; CYP1B1; CCND1; EGFR; BIRC2; SLC7A11; NAV3; SLC5A3; MAFG; AMIGO2; ABCC3	1543; 8714; 595; 329; 89795; 1545; 347902; 23657; 1956; 6526; 4097; 1577	316	316
6.35314681984e-05	0.00183333665373	Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling	PID	upa_upar_pathway	EGFR; MMP9; BCAR1; MMP12; MMP1	4312; 9564; 4321; 1956; 4318	44	44
7.16806157733e-05	0.0018886283982	Type I hemidesmosome assembly	Reactome	R-HSA-446107	DST; PLEC; ITGA6	667; 3655; 5339	9	9
7.16806157733e-05	0.0018886283982	Erlotinib Pathway, Pharmacokinetics	PharmGKB	PA154426903	CYP1A1; CYP3A5; EGFR	1956; 1543; 1577	9	9
8.76752742265e-05	0.0022005481067	Arf6 trafficking events	PID	arf6_traffickingpathway	ITGA6; ITGA2; EXOC7; CLTC; SPAG9	9043; 3673; 23265; 1213; 3655	47	47
9.71155624606e-05	0.0022005481067	Assembly of collagen fibrils and other multimeric structures	Reactome	R-HSA-2022090	DST; MMP9; PLEC; ITGA6; MMP1	4312; 5339; 4318; 667; 3655	48	48
9.72156195557e-05	0.0022005481067	Immune System	Reactome	R-HSA-168256	STX1A; UBE2Q2; ATP6V1A; ITCH; ANO6; CAB39; TRIM37; BIRC2; PSMD3; SMAD3; CLTC; TRIM56; AP2B1; ICOSLG; DEFB4B; STAT1; PIK3CD; PILRB; FADD; IRAK2; SDCBP; KPNB1; VNN1; TNIP2; PML; KLHL5; HERC5; VASP; MX1; DEFB4A; EIF2AK2; UBE2Z; CANT1; MMP9	23308; 83737; 5371; 4591; 523; 65264; 5709; 7408; 8772; 6772; 4088; 4318; 5610; 124583; 6804; 8876; 163; 3656; 29990; 81844; 329; 5293; 3837; 1673; 79155; 100289462; 51191; 51088; 4599; 1213; 51719; 6386; 196527; 92912	1840	1827
9.87148615501e-05	0.0022005481067	VEGFA-VEGFR2 Signaling Pathway	Wikipathways	WP3888	MMP10; ITCH; STAT1; CCND1; FAS; CAPN2; CLTC; FADD; BCAR1; PRKD2	83737; 824; 595; 6772; 9564; 25865; 1213; 8772; 4319; 355	236	236
0.000101675490078	0.0022005481067	NS1 Mediated Effects on Host Pathways	Reactome	R-HSA-168276	EIF2AK2; KPNB1; KPNA1	5610; 3836; 3837	10	10
0.00014134173576	0.00288682576582	Epstein-Barr virus infection - Homo sapiens (human)	KEGG	path:hsa05169	E2F3; STAT1; CCND1; FAS; EIF2AK2; PIK3CD; PSMD3; CDK6; FADD	595; 6772; 5293; 355; 8772; 5709; 1871; 5610; 1021	201	200
