p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.48413760305e-10	1.67463104842e-08	Metabolism of proteins	Reactome	R-HSA-392499	RPN2; VBP1; MRPL28; SRP9; AIMP1; VDAC3; MRPL15; EIF3I; TSFM; CCT7; PSMA4; PSMC5; MRPL13; MTX1; MRPL16; COPE; MRPS7; MRPL2; MRPL3; HLTF; PSMD8; ACTL6A; PSMB7; PSMB6; PSMB5	4580; 5694; 9255; 28998; 7419; 6726; 10573; 6185; 10102; 7411; 86; 8668; 10574; 5693; 6596; 5705; 54948; 5685; 51069; 29088; 51081; 11316; 5695; 5714; 11222	2008	1999
1.94724540514e-10	1.67463104842e-08	Translation	Reactome	R-HSA-72766	EIF3I; RPN2; MRPL13; MRPL15; MRPL16; TSFM; MRPL28; SRP9; AIMP1; MRPS7; MRPL2; MRPL3	6726; 9255; 8668; 6185; 51069; 29088; 11222; 10102; 28998; 54948; 51081; 10573	310	307
3.82611856658e-10	2.19364131151e-08	Mitochondrial translation elongation	Reactome	R-HSA-5389840	MRPL13; MRPL15; MRPL16; TSFM; MRPL28; MRPS7; MRPL2; MRPL3	51069; 10573; 29088; 11222; 10102; 28998; 54948; 51081	89	88
6.53110438224e-10	2.80837488436e-08	Mitochondrial translation	Reactome	R-HSA-5368287	MRPL13; MRPL15; MRPL16; TSFM; MRPL28; MRPS7; MRPL2; MRPL3	51069; 10573; 29088; 11222; 10102; 28998; 54948; 51081	95	94
1.4074088443e-09	4.8414864244e-08	Proteasome Degradation	Wikipathways	WP183	RPN2; PSMD8; PSMA4; PSMB7; PSMB6; PSMB5; PSMC5	5714; 5705; 6185; 5685; 5695; 5693; 5694	64	64
6.76276620519e-09	1.93865964549e-07	Proteasome - Homo sapiens (human)	KEGG	path:hsa03050	PSMD8; PSMA4; PSMB7; PSMB6; PSMB5; PSMC5	5685; 5693; 5694; 5695; 5705; 5714	45	45
1.26677848533e-08	2.59274063891e-07	proteasome complex	BioCarta	proteasomepathway	PSMB7; PSMB6; RPN2; PSMB5; PSMA4	5695; 6185; 5694; 5685; 5693	24	24
1.35666661339e-08	2.59274063891e-07	Mitochondrial translation termination	Reactome	R-HSA-5419276	MRPL13; MRPL15; MRPL16; MRPS7; MRPL28; MRPL2; MRPL3	51069; 10573; 29088; 11222; 28998; 54948; 51081	89	88
1.35666661339e-08	2.59274063891e-07	Mitochondrial translation initiation	Reactome	R-HSA-5368286	MRPL13; MRPL15; MRPL16; MRPS7; MRPL28; MRPL2; MRPL3	51069; 10573; 29088; 11222; 28998; 54948; 51081	89	88
3.81420994376e-08	6.56044110327e-07	UCH proteinases	Reactome	R-HSA-5689603	PSMD8; ACTL6A; PSMA4; PSMB7; PSMB6; PSMB5; PSMC5	5694; 5693; 5714; 5685; 86; 5695; 5705	102	102
4.8962164783e-08	7.01791028556e-07	TLR JNK	INOH	None	PSMD8; PSMA4; PSMB7; PSMB6; PSMB5; PSMC5	5714; 5694; 5705; 5685; 5693; 5695	62	62
